feature,mean_value,std_value,min_value,max_value,skewness,kurtosis
feature_66,0.2327452,0.14429891,0.0,0.6347108,0.26316437,-1.2648212
feature_67,0.23278303,0.1431621,0.0,0.6185802,0.26038167,-1.273991
feature_68,0.2336086,0.1429182,0.0,0.64110833,0.2586282,-1.2856933
feature_69,0.23317455,0.14160976,0.0,0.6374175,0.25749347,-1.2867322
feature_7,0.25813586,0.13205838,0.12296146,0.74981123,1.1045719,1.3767605
feature_70,0.23253733,0.13975994,0.0,0.61986524,0.25442818,-1.2870691
feature_71,0.23303948,0.13918255,0.0,0.6088472,0.25407985,-1.2929276
feature_72,0.23369421,0.13869539,0.0,0.592826,0.25230488,-1.2961559
feature_73,0.23369035,0.13756172,0.0,0.5867565,0.24935846,-1.2956194
feature_74,0.23349887,0.13684495,0.0,0.5760666,0.2465697,-1.3010466
feature_75,0.23368031,0.13565779,0.0,0.56138504,0.23822407,-1.3057902
feature_76,0.23392089,0.13462181,0.0,0.5524175,0.22693177,-1.3164871
feature_77,0.2351969,0.1343619,0.0,0.54243845,0.21250342,-1.3344089
feature_78,0.2362622,0.1331742,0.0,0.5308463,0.20369923,-1.3337466
feature_79,0.23719592,0.13270892,0.0,0.5273175,0.19579339,-1.3415267
feature_8,0.27199426,0.1515101,0.12296146,0.84384596,1.277591,1.7422152
feature_80,0.23710336,0.13176273,0.0,0.52468526,0.18604036,-1.3468732
feature_81,0.2380814,0.13121273,0.0,0.52275497,0.17350315,-1.3564781
feature_82,0.23903576,0.13038109,0.0,0.5198068,0.15693027,-1.3641616
feature_83,0.24019744,0.12994255,0.0,0.51720965,0.14560941,-1.3708396
feature_84,0.24117427,0.12919693,0.0,0.5171044,0.13708678,-1.3695067
feature_85,0.24225333,0.12910339,0.0,0.5156654,0.12780671,-1.3744274
feature_86,0.24240926,0.12806514,0.0,0.51520914,0.123560995,-1.3696166
feature_87,0.2427512,0.1276982,0.0,0.5121908,0.11904493,-1.3711327
feature_88,0.24231897,0.12722106,0.0,0.5113836,0.11682016,-1.366999
feature_89,0.24262595,0.1265002,0.0,0.5094884,0.11179647,-1.3635741
feature_9,0.2843029,0.16739851,0.122824766,0.91306317,1.3224993,1.7211428
feature_90,0.24457711,0.12727903,0.0,0.5094182,0.10236381,-1.3711848
feature_91,0.2446635,0.12618276,0.0,0.50885665,0.09340392,-1.3621529
feature_92,0.24500588,0.12583116,0.0,0.5092778,0.08311166,-1.3649036
feature_93,0.24598461,0.1260865,0.0,0.50713694,0.0752833,-1.3680426
feature_94,0.24609482,0.12555958,0.0,0.5067158,0.07216818,-1.3623555
feature_95,0.24670246,0.12519684,0.0,0.5051013,0.07025236,-1.360543
feature_96,0.24694441,0.12517986,0.0,0.50436425,0.068734415,-1.359938
feature_97,0.2469266,0.12481755,0.0,0.5074879,0.06558601,-1.3580736
feature_98,0.24703369,0.12526883,0.0,0.5041186,0.06306927,-1.3646525
feature_99,0.24711858,0.12550609,0.0,0.50334644,0.06492835,-1.3639755
